,settlementDate,settlementPeriod,powerSystemResourceType,quantity
195,2021-07-19,18,"""Hydro Run-of-river and poundage""",214
196,2021-07-19,18,"""Hydro Pumped Storage""",113
197,2021-07-19,18,"""Biomass""",2423
198,2021-07-19,19,"""Solar""",4030
199,2021-07-19,19,"""Wind Offshore""",611.541
200,2021-07-19,19,"""Wind Onshore""",191.747
201,2021-07-19,19,"""Other""",277
202,2021-07-19,19,"""Nuclear""",4958
203,2021-07-19,19,"""Fossil Oil""",0
204,2021-07-19,19,"""Fossil Gas""",15867
205,2021-07-19,19,"""Fossil Hard coal""",991
206,2021-07-19,19,"""Hydro Run-of-river and poundage""",202
207,2021-07-19,19,"""Hydro Pumped Storage""",149
208,2021-07-19,19,"""Biomass""",2420
209,2021-07-19,20,"""Solar""",4850
210,2021-07-19,20,"""Wind Offshore""",603.716
211,2021-07-19,20,"""Wind Onshore""",193.612
212,2021-07-19,20,"""Other""",258
213,2021-07-19,20,"""Nuclear""",4960
214,2021-07-19,20,"""Fossil Oil""",0
215,2021-07-19,20,"""Fossil Gas""",15743
216,2021-07-19,20,"""Fossil Hard coal""",986
217,2021-07-19,20,"""Hydro Run-of-river and poundage""",202
218,2021-07-19,20,"""Hydro Pumped Storage""",28
219,2021-07-19,20,"""Biomass""",2428
220,2021-07-19,21,"""Solar""",5520
221,2021-07-19,21,"""Wind Offshore""",659.168
222,2021-07-19,21,"""Wind Onshore""",216.095
223,2021-07-19,21,"""Other""",273
224,2021-07-19,21,"""Nuclear""",4962
225,2021-07-19,21,"""Fossil Oil""",0
226,2021-07-19,21,"""Fossil Gas""",15707
227,2021-07-19,21,"""Fossil Hard coal""",979
228,2021-07-19,21,"""Hydro Run-of-river and poundage""",131
229,2021-07-19,21,"""Hydro Pumped Storage""",0
230,2021-07-19,21,"""Biomass""",2423
231,2021-07-19,22,"""Solar""",6230
232,2021-07-19,22,"""Wind Offshore""",701.696
233,2021-07-19,22,"""Wind Onshore""",219.927
234,2021-07-19,22,"""Other""",299
235,2021-07-19,22,"""Nuclear""",4953
236,2021-07-19,22,"""Fossil Oil""",0
237,2021-07-19,22,"""Fossil Gas""",15423
238,2021-07-19,22,"""Fossil Hard coal""",988
239,2021-07-19,22,"""Hydro Run-of-river and poundage""",128
240,2021-07-19,22,"""Hydro Pumped Storage""",0
241,2021-07-19,22,"""Biomass""",2429
242,2021-07-19,23,"""Solar""",6890
243,2021-07-19,23,"""Wind Offshore""",626.486
244,2021-07-19,23,"""Wind Onshore""",245.258
245,2021-07-19,23,"""Other""",285
246,2021-07-19,23,"""Nuclear""",4954
247,2021-07-19,23,"""Fossil Oil""",0
248,2021-07-19,23,"""Fossil Gas""",14826
249,2021-07-19,23,"""Fossil Hard coal""",987
250,2021-07-19,23,"""Hydro Run-of-river and poundage""",112
251,2021-07-19,23,"""Hydro Pumped Storage""",0
252,2021-07-19,23,"""Biomass""",2422
253,2021-07-19,24,"""Solar""",7340
254,2021-07-19,24,"""Wind Offshore""",693.763
255,2021-07-19,24,"""Wind Onshore""",246.175
256,2021-07-19,24,"""Other""",307
257,2021-07-19,24,"""Nuclear""",4954
258,2021-07-19,24,"""Fossil Oil""",0
259,2021-07-19,24,"""Fossil Gas""",14509
260,2021-07-19,24,"""Fossil Hard coal""",981
261,2021-07-19,24,"""Hydro Run-of-river and poundage""",103
262,2021-07-19,24,"""Hydro Pumped Storage""",110
263,2021-07-19,24,"""Biomass""",2415
264,2021-07-19,25,"""Solar""",7520
265,2021-07-19,25,"""Wind Offshore""",834.65
266,2021-07-19,25,"""Wind Onshore""",288.051
267,2021-07-19,25,"""Other""",241
268,2021-07-19,25,"""Nuclear""",4958
269,2021-07-19,25,"""Fossil Oil""",0
270,2021-07-19,25,"""Fossil Gas""",14780
271,2021-07-19,25,"""Fossil Hard coal""",984
272,2021-07-19,25,"""Hydro Run-of-river and poundage""",94
273,2021-07-19,25,"""Hydro Pumped Storage""",118
274,2021-07-19,25,"""Biomass""",2421
275,2021-07-19,26,"""Solar""",7600
276,2021-07-19,26,"""Wind Offshore""",865.158
277,2021-07-19,26,"""Wind Onshore""",292.414
278,2021-07-19,26,"""Other""",232
279,2021-07-19,26,"""Nuclear""",4944
280,2021-07-19,26,"""Fossil Oil""",0
281,2021-07-19,26,"""Fossil Gas""",14755
282,2021-07-19,26,"""Fossil Hard coal""",973
283,2021-07-19,26,"""Hydro Run-of-river and poundage""",94
284,2021-07-19,26,"""Hydro Pumped Storage""",305
285,2021-07-19,26,"""Biomass""",2417
286,2021-07-19,27,"""Solar""",7590
287,2021-07-19,27,"""Wind Offshore""",832.592
288,2021-07-19,27,"""Wind Onshore""",341.619
289,2021-07-19,27,"""Other""",255
290,2021-07-19,27,"""Nuclear""",4889
291,2021-07-19,27,"""Fossil Oil""",0
292,2021-07-19,27,"""Fossil Gas""",14931
293,2021-07-19,27,"""Fossil Hard coal""",984
294,2021-07-19,27,"""Hydro Run-of-river and poundage""",94
295,2021-07-19,27,"""Hydro Pumped Storage""",133
296,2021-07-19,27,"""Biomass""",2412
297,2021-07-19,28,"""Solar""",7540
298,2021-07-19,28,"""Wind Offshore""",841.961
299,2021-07-19,28,"""Wind Onshore""",346.993
300,2021-07-19,28,"""Other""",229
301,2021-07-19,28,"""Nuclear""",4748
302,2021-07-19,28,"""Fossil Oil""",0
303,2021-07-19,28,"""Fossil Gas""",14589
304,2021-07-19,28,"""Fossil Hard coal""",980
305,2021-07-19,28,"""Hydro Run-of-river and poundage""",94
306,2021-07-19,28,"""Hydro Pumped Storage""",54
307,2021-07-19,28,"""Biomass""",2397
