,settlementDate,settlementPeriod,powerSystemResourceType,quantity
1123,2021-07-21,7,"""Wind Offshore""",519.479
1124,2021-07-21,7,"""Wind Onshore""",279.936
1125,2021-07-21,7,"""Other""",139
1126,2021-07-21,7,"""Nuclear""",4709
1127,2021-07-21,7,"""Fossil Oil""",0
1128,2021-07-21,7,"""Fossil Gas""",12382
1129,2021-07-21,7,"""Fossil Hard coal""",0
1130,2021-07-21,7,"""Hydro Run-of-river and poundage""",51
1131,2021-07-21,7,"""Hydro Pumped Storage""",0
1132,2021-07-21,7,"""Biomass""",2433
1133,2021-07-21,8,"""Solar""",0
1134,2021-07-21,8,"""Wind Offshore""",516.881
1135,2021-07-21,8,"""Wind Onshore""",271.805
1136,2021-07-21,8,"""Other""",139
1137,2021-07-21,8,"""Nuclear""",4703
1138,2021-07-21,8,"""Fossil Oil""",0
1139,2021-07-21,8,"""Fossil Gas""",12331
1140,2021-07-21,8,"""Fossil Hard coal""",0
1141,2021-07-21,8,"""Hydro Run-of-river and poundage""",51
1142,2021-07-21,8,"""Hydro Pumped Storage""",0
1143,2021-07-21,8,"""Biomass""",2439
1144,2021-07-21,9,"""Solar""",0
1145,2021-07-21,9,"""Wind Offshore""",491.053
1146,2021-07-21,9,"""Wind Onshore""",264.422
1147,2021-07-21,9,"""Other""",141
1148,2021-07-21,9,"""Nuclear""",4698
1149,2021-07-21,9,"""Fossil Oil""",0
1150,2021-07-21,9,"""Fossil Gas""",12291
1151,2021-07-21,9,"""Fossil Hard coal""",0
1152,2021-07-21,9,"""Hydro Run-of-river and poundage""",51
1153,2021-07-21,9,"""Hydro Pumped Storage""",0
1154,2021-07-21,9,"""Biomass""",2458
1155,2021-07-21,10,"""Solar""",0
1156,2021-07-21,10,"""Wind Offshore""",477.747
1157,2021-07-21,10,"""Wind Onshore""",253.055
1158,2021-07-21,10,"""Other""",142
1159,2021-07-21,10,"""Nuclear""",4715
1160,2021-07-21,10,"""Fossil Oil""",0
1161,2021-07-21,10,"""Fossil Gas""",12364
1162,2021-07-21,10,"""Fossil Hard coal""",0
1163,2021-07-21,10,"""Hydro Run-of-river and poundage""",51
1164,2021-07-21,10,"""Hydro Pumped Storage""",0
1165,2021-07-21,10,"""Biomass""",2502
1166,2021-07-21,11,"""Solar""",3
1167,2021-07-21,11,"""Wind Offshore""",497.209
1168,2021-07-21,11,"""Wind Onshore""",237.16
1169,2021-07-21,11,"""Other""",141
1170,2021-07-21,11,"""Nuclear""",4704
1171,2021-07-21,11,"""Fossil Oil""",0
1172,2021-07-21,11,"""Fossil Gas""",12381
1173,2021-07-21,11,"""Fossil Hard coal""",0
1174,2021-07-21,11,"""Hydro Run-of-river and poundage""",51
1175,2021-07-21,11,"""Hydro Pumped Storage""",0
1176,2021-07-21,11,"""Biomass""",2504
1177,2021-07-21,12,"""Solar""",91
1178,2021-07-21,12,"""Wind Offshore""",456.097
1179,2021-07-21,12,"""Wind Onshore""",227.926
1180,2021-07-21,12,"""Other""",140
1181,2021-07-21,12,"""Nuclear""",4700
1182,2021-07-21,12,"""Fossil Oil""",0
1183,2021-07-21,12,"""Fossil Gas""",12777
1184,2021-07-21,12,"""Fossil Hard coal""",0
1185,2021-07-21,12,"""Hydro Run-of-river and poundage""",51
1186,2021-07-21,12,"""Hydro Pumped Storage""",0
1187,2021-07-21,12,"""Biomass""",2503
1188,2021-07-21,13,"""Solar""",343
1189,2021-07-21,13,"""Wind Offshore""",25.025
1190,2021-07-21,13,"""Wind Onshore""",193.371
1191,2021-07-21,13,"""Other""",141
1192,2021-07-21,13,"""Nuclear""",4700
1193,2021-07-21,13,"""Fossil Oil""",0
1194,2021-07-21,13,"""Fossil Gas""",13334
1195,2021-07-21,13,"""Fossil Hard coal""",0
1196,2021-07-21,13,"""Hydro Run-of-river and poundage""",51
1197,2021-07-21,13,"""Hydro Pumped Storage""",0
1198,2021-07-21,13,"""Biomass""",2507
1199,2021-07-21,14,"""Solar""",701
1200,2021-07-21,14,"""Wind Offshore""",421.527
1201,2021-07-21,14,"""Wind Onshore""",238.3
1202,2021-07-21,14,"""Other""",141
1203,2021-07-21,14,"""Nuclear""",4708
1204,2021-07-21,14,"""Fossil Oil""",0
1205,2021-07-21,14,"""Fossil Gas""",14309
1206,2021-07-21,14,"""Fossil Hard coal""",45
1207,2021-07-21,14,"""Hydro Run-of-river and poundage""",51
1208,2021-07-21,14,"""Hydro Pumped Storage""",0
1209,2021-07-21,14,"""Biomass""",2492
1210,2021-07-21,15,"""Solar""",1160
1211,2021-07-21,15,"""Wind Offshore""",392.232
1212,2021-07-21,15,"""Wind Onshore""",217.187
1213,2021-07-21,15,"""Other""",198
1214,2021-07-21,15,"""Nuclear""",4710
1215,2021-07-21,15,"""Fossil Oil""",0
1216,2021-07-21,15,"""Fossil Gas""",15493
1217,2021-07-21,15,"""Fossil Hard coal""",353
1218,2021-07-21,15,"""Hydro Run-of-river and poundage""",51
1219,2021-07-21,15,"""Hydro Pumped Storage""",0
1220,2021-07-21,15,"""Biomass""",2478
1221,2021-07-21,16,"""Solar""",1720
1222,2021-07-21,16,"""Wind Offshore""",358.179
1223,2021-07-21,16,"""Wind Onshore""",214.821
1224,2021-07-21,16,"""Other""",246
1225,2021-07-21,16,"""Nuclear""",4712
1226,2021-07-21,16,"""Fossil Oil""",0
1227,2021-07-21,16,"""Fossil Gas""",15984
1228,2021-07-21,16,"""Fossil Hard coal""",817
1229,2021-07-21,16,"""Hydro Run-of-river and poundage""",51
1230,2021-07-21,16,"""Hydro Pumped Storage""",0
1231,2021-07-21,16,"""Biomass""",2491
1232,2021-07-21,17,"""Solar""",2350
1233,2021-07-21,17,"""Wind Offshore""",331.397
1234,2021-07-21,17,"""Wind Onshore""",205.49
1235,2021-07-21,17,"""Other""",383
1236,2021-07-21,17,"""Nuclear""",4710
1237,2021-07-21,17,"""Fossil Oil""",0
1238,2021-07-21,17,"""Fossil Gas""",16238
1239,2021-07-21,17,"""Fossil Hard coal""",971
1240,2021-07-21,17,"""Hydro Run-of-river and poundage""",128
1241,2021-07-21,17,"""Hydro Pumped Storage""",297
1242,2021-07-21,17,"""Biomass""",2490
1243,2021-07-21,18,"""Solar""",3020
1244,2021-07-21,18,"""Wind Offshore""",321.775
1245,2021-07-21,18,"""Wind Onshore""",198.729
1246,2021-07-21,18,"""Other""",502
1247,2021-07-21,18,"""Nuclear""",4704
1248,2021-07-21,18,"""Fossil Oil""",0
1249,2021-07-21,18,"""Fossil Gas""",16043
1250,2021-07-21,18,"""Fossil Hard coal""",978
1251,2021-07-21,18,"""Hydro Run-of-river and poundage""",142
1252,2021-07-21,18,"""Hydro Pumped Storage""",787
1253,2021-07-21,18,"""Biomass""",2484
1254,2021-07-21,19,"""Solar""",3740
1255,2021-07-21,19,"""Wind Offshore""",283.367
1256,2021-07-21,19,"""Wind Onshore""",205.311
1257,2021-07-21,19,"""Other""",505
1258,2021-07-21,19,"""Nuclear""",4700
1259,2021-07-21,19,"""Fossil Oil""",0
1260,2021-07-21,19,"""Fossil Gas""",16171
1261,2021-07-21,19,"""Fossil Hard coal""",978
1262,2021-07-21,19,"""Hydro Run-of-river and poundage""",142
1263,2021-07-21,19,"""Hydro Pumped Storage""",598
1264,2021-07-21,19,"""Biomass""",2458
