HDR,SYSTEM FREQUENCY DATA
FREQ,20210720164315,49.962
FREQ,20210720164330,49.961
FREQ,20210720164345,49.967
FREQ,20210720164400,49.951
FREQ,20210720164415,49.933
FREQ,20210720164430,49.945
FREQ,20210720164445,49.946
FREQ,20210720164500,49.970
FREQ,20210720164515,49.957
FREQ,20210720164530,49.947
FREQ,20210720164545,49.931
FREQ,20210720164600,49.937
FREQ,20210720164615,49.942
FREQ,20210720164630,49.983
FREQ,20210720164645,49.993
FREQ,20210720164700,49.974
FREQ,20210720164715,49.950
FREQ,20210720164730,49.967
FREQ,20210720164745,49.966
FREQ,20210720164800,49.935
FREQ,20210720164815,49.951
FREQ,20210720164830,49.984
FREQ,20210720164845,49.994
FREQ,20210720164900,49.966
FREQ,20210720164915,49.996
FREQ,20210720164930,49.980
FREQ,20210720164945,49.984
FREQ,20210720165000,49.992
FREQ,20210720165015,49.988
FREQ,20210720165030,49.973
FREQ,20210720165045,49.963
FREQ,20210720165100,49.940
FREQ,20210720165115,49.927
FREQ,20210720165130,49.935
FREQ,20210720165145,49.933
FREQ,20210720165200,49.943
FREQ,20210720165215,49.969
FREQ,20210720165230,49.978
FREQ,20210720165245,49.981
FREQ,20210720165300,49.985
FREQ,20210720165315,49.999
FREQ,20210720165330,49.979
FREQ,20210720165345,49.989
FREQ,20210720165400,49.986
FREQ,20210720165415,49.981
FREQ,20210720165430,50.015
FREQ,20210720165445,50.019
FREQ,20210720165500,50.026
FREQ,20210720165515,49.999
FREQ,20210720165530,50.009
FREQ,20210720165545,50.019
FREQ,20210720165600,50.014
FREQ,20210720165615,50.022
FREQ,20210720165630,49.978
FREQ,20210720165645,49.967
FREQ,20210720165700,49.955
FREQ,20210720165715,49.962
FREQ,20210720165730,49.969
FREQ,20210720165745,49.979
FREQ,20210720165800,49.981
FREQ,20210720165815,49.955
FREQ,20210720165830,49.944
FREQ,20210720165845,49.959
FREQ,20210720165900,49.937
FREQ,20210720165915,49.941
FREQ,20210720165930,49.960
FREQ,20210720165945,49.975
FREQ,20210720170000,50.013
FREQ,20210720170015,50.018
FREQ,20210720170030,50.008
FREQ,20210720170045,50.001
FREQ,20210720170100,50.028
FREQ,20210720170115,50.033
FREQ,20210720170130,50.021
FREQ,20210720170145,50.023
FREQ,20210720170200,50.007
FREQ,20210720170215,50.002
FREQ,20210720170230,50.003
FREQ,20210720170245,50.018
FREQ,20210720170300,50.033
FREQ,20210720170315,50.007
FREQ,20210720170330,49.985
FREQ,20210720170345,50.004
FREQ,20210720170400,49.992
FREQ,20210720170415,50.021
FREQ,20210720170430,50.007
FREQ,20210720170445,50.005
FREQ,20210720170500,49.981
FREQ,20210720170515,49.998
FREQ,20210720170530,49.998
FREQ,20210720170545,50.001
FREQ,20210720170600,50.005
FREQ,20210720170615,49.998
FREQ,20210720170630,50.007
FREQ,20210720170645,49.985
FREQ,20210720170700,49.995
FREQ,20210720170715,49.993
FREQ,20210720170730,50.003
FREQ,20210720170745,50.052
FREQ,20210720170800,50.034
FREQ,20210720170815,50.035
FREQ,20210720170830,50.024
FREQ,20210720170845,50.025
FREQ,20210720170900,50.038
FREQ,20210720170915,50.041
FREQ,20210720170930,50.035
FREQ,20210720170945,50.044
FREQ,20210720171000,50.036
FREQ,20210720171015,50.036
FREQ,20210720171030,50.028
FREQ,20210720171045,50.036
FREQ,20210720171100,50.054
FREQ,20210720171115,50.029
FREQ,20210720171130,50.020
FREQ,20210720171145,50.018
FREQ,20210720171200,50.029
FREQ,20210720171215,50.044
FREQ,20210720171230,50.050
FREQ,20210720171245,50.043
FREQ,20210720171300,50.017
FREQ,20210720171315,50.011
FREQ,20210720171330,50.025
FREQ,20210720171345,50.012
FREQ,20210720171400,50.015
FREQ,20210720171415,50.006
FREQ,20210720171430,49.979
FREQ,20210720171445,49.960
FREQ,20210720171500,49.943
FREQ,20210720171515,49.966
FREQ,20210720171530,49.972
FREQ,20210720171545,49.993
FREQ,20210720171600,49.976
FREQ,20210720171615,49.957
FREQ,20210720171630,49.962
FREQ,20210720171645,49.974
FREQ,20210720171700,49.959
FREQ,20210720171715,49.944
FREQ,20210720171730,49.933
FREQ,20210720171745,49.947
FREQ,20210720171800,49.945
FREQ,20210720171815,49.944
FREQ,20210720171830,49.929
FREQ,20210720171845,49.937
FREQ,20210720171900,49.941
FREQ,20210720171915,49.935
FREQ,20210720171930,49.943
FREQ,20210720171945,49.935
FREQ,20210720172000,49.929
FREQ,20210720172015,49.918
FREQ,20210720172030,49.919
FREQ,20210720172045,49.928
FREQ,20210720172100,49.924
FREQ,20210720172115,49.940
FREQ,20210720172130,49.921
FREQ,20210720172145,49.914
FREQ,20210720172200,49.925
FREQ,20210720172215,49.906
FREQ,20210720172230,49.923
FREQ,20210720172245,49.918
FREQ,20210720172300,49.928
FREQ,20210720172315,49.930
FREQ,20210720172330,49.916
FREQ,20210720172345,49.916
FREQ,20210720172400,49.924
FREQ,20210720172415,49.909
FREQ,20210720172430,49.915
FREQ,20210720172445,49.945
FREQ,20210720172500,49.961
FREQ,20210720172515,49.971
FREQ,20210720172530,49.971
FREQ,20210720172545,49.948
FREQ,20210720172600,49.948
FREQ,20210720172615,49.941
FREQ,20210720172630,49.947
FREQ,20210720172645,49.951
FREQ,20210720172700,49.959
FREQ,20210720172715,49.952
FREQ,20210720172730,49.998
FREQ,20210720172745,50.026
FREQ,20210720172800,50.016
FREQ,20210720172815,50.032
FREQ,20210720172830,50.012
FREQ,20210720172845,50.003
FREQ,20210720172900,50.015
FREQ,20210720172915,50.007
FREQ,20210720172930,50.033
FREQ,20210720172945,49.994
FREQ,20210720173000,49.967
FREQ,20210720173015,49.954
FREQ,20210720173030,49.962
FREQ,20210720173045,50.005
FREQ,20210720173100,50.022
FREQ,20210720173115,50.003
FREQ,20210720173130,49.987
FREQ,20210720173145,49.956
FREQ,20210720173200,49.973
FREQ,20210720173215,49.969
FREQ,20210720173230,49.994
FREQ,20210720173245,49.985
FREQ,20210720173300,49.978
FREQ,20210720173315,49.988
FREQ,20210720173330,50.024
FREQ,20210720173345,50.015
FREQ,20210720173400,50.022
FREQ,20210720173415,50.024
FREQ,20210720173430,50.039
FREQ,20210720173445,50.042
FREQ,20210720173500,50.042
FREQ,20210720173515,50.046
FREQ,20210720173530,50.032
FREQ,20210720173545,50.049
FREQ,20210720173600,50.050
FREQ,20210720173615,50.044
FREQ,20210720173630,50.048
FREQ,20210720173645,50.068
FREQ,20210720173700,50.058
FREQ,20210720173715,50.068
FREQ,20210720173730,50.060
FREQ,20210720173745,50.064
FREQ,20210720173800,50.070
FREQ,20210720173815,50.073
FREQ,20210720173830,50.082
FREQ,20210720173845,50.078
FREQ,20210720173900,50.062
FREQ,20210720173915,50.067
FREQ,20210720173930,50.073
FREQ,20210720173945,50.069
FREQ,20210720174000,50.074
FREQ,20210720174015,50.037
FREQ,20210720174030,50.042
FREQ,20210720174045,50.038
FREQ,20210720174100,50.048
FREQ,20210720174115,50.045
FREQ,20210720174130,50.043
FREQ,20210720174145,50.035
FREQ,20210720174200,50.028
FREQ,20210720174215,50.039
FREQ,20210720174230,50.032
FREQ,20210720174245,50.010
FREQ,20210720174300,50.022
FREQ,20210720174315,50.022
FREQ,20210720174330,50.031
FREQ,20210720174345,50.038
FREQ,20210720174400,50.053
FREQ,20210720174415,50.012
FREQ,20210720174430,50.033
FREQ,20210720174445,50.010
FREQ,20210720174500,50.019
FREQ,20210720174515,50.030
FREQ,20210720174530,50.024
FREQ,20210720174545,50.004
FREQ,20210720174600,50.008
FREQ,20210720174615,49.975
FREQ,20210720174630,49.995
FREQ,20210720174645,50.002
FREQ,20210720174700,50.003
FREQ,20210720174715,50.016
FREQ,20210720174730,50.016
FREQ,20210720174745,50.021
FREQ,20210720174800,50.025
FREQ,20210720174815,50.013
FREQ,20210720174830,50.014
FREQ,20210720174845,50.016
FREQ,20210720174900,50.009
FREQ,20210720174915,49.982
FREQ,20210720174930,49.989
FREQ,20210720174945,50.015
FREQ,20210720175000,50.004
FREQ,20210720175015,50.016
FREQ,20210720175030,50.003
FREQ,20210720175045,49.995
FREQ,20210720175100,49.989
FREQ,20210720175115,49.992
FREQ,20210720175130,49.990
FREQ,20210720175145,50.048
FREQ,20210720175200,50.047
FREQ,20210720175215,50.034
FREQ,20210720175230,50.045
FREQ,20210720175245,50.061
FREQ,20210720175300,50.057
FREQ,20210720175315,50.035
FREQ,20210720175330,50.029
FREQ,20210720175345,50.040
FREQ,20210720175400,50.018
FREQ,20210720175415,50.035
FREQ,20210720175430,50.021
FREQ,20210720175445,50.000
FREQ,20210720175500,49.996
FREQ,20210720175515,50.015
FREQ,20210720175530,49.995
FREQ,20210720175545,49.976
FREQ,20210720175600,49.962
FREQ,20210720175615,49.942
FREQ,20210720175630,49.945
FREQ,20210720175645,49.973
FREQ,20210720175700,49.955
FREQ,20210720175715,49.950
FREQ,20210720175730,49.955
FREQ,20210720175745,49.969
FREQ,20210720175800,49.998
FREQ,20210720175815,50.012
FREQ,20210720175830,49.981
FREQ,20210720175845,49.987
FREQ,20210720175900,49.965
FREQ,20210720175915,49.964
FREQ,20210720175930,49.925
FREQ,20210720175945,49.912
FREQ,20210720180000,49.929
FREQ,20210720180015,49.930
FREQ,20210720180030,49.940
FREQ,20210720180045,49.929
FREQ,20210720180100,49.912
FREQ,20210720180115,49.904
FREQ,20210720180130,49.884
FREQ,20210720180145,49.890
FREQ,20210720180200,49.912
FREQ,20210720180215,49.929
FREQ,20210720180230,49.933
FREQ,20210720180245,49.931
FREQ,20210720180300,49.933
FREQ,20210720180315,49.945
FREQ,20210720180330,49.936
FREQ,20210720180345,49.943
FREQ,20210720180400,49.944
FREQ,20210720180415,49.956
FREQ,20210720180430,49.945
FREQ,20210720180445,49.921
FREQ,20210720180500,49.898
FREQ,20210720180515,49.886
FREQ,20210720180530,49.893
FREQ,20210720180545,49.918
FREQ,20210720180600,49.910
FREQ,20210720180615,49.911
FREQ,20210720180630,49.900
FREQ,20210720180645,49.914
FREQ,20210720180700,49.926
FREQ,20210720180715,49.922
FREQ,20210720180730,49.927
FREQ,20210720180745,49.928
FREQ,20210720180800,49.933
FREQ,20210720180815,49.928
FREQ,20210720180830,49.929
FREQ,20210720180845,49.927
FREQ,20210720180900,49.925
FREQ,20210720180915,49.897
FREQ,20210720180930,49.913
FREQ,20210720180945,49.902
FREQ,20210720181000,49.911
FREQ,20210720181015,49.899
FREQ,20210720181030,49.910
FREQ,20210720181045,49.914
FREQ,20210720181100,49.925
FREQ,20210720181115,49.913
FREQ,20210720181130,49.919
FREQ,20210720181145,49.910
FREQ,20210720181200,49.885
FREQ,20210720181215,49.879
FREQ,20210720181230,49.889
FREQ,20210720181245,49.892
FREQ,20210720181300,49.894
FREQ,20210720181315,49.894
FREQ,20210720181330,49.917
FREQ,20210720181345,49.898
FREQ,20210720181400,49.908
FREQ,20210720181415,49.909
FREQ,20210720181430,49.900
FREQ,20210720181445,49.908
FREQ,20210720181500,49.907
FREQ,20210720181515,49.889
FREQ,20210720181530,49.895
FREQ,20210720181545,49.891
FREQ,20210720181600,49.904
FREQ,20210720181615,49.915
FREQ,20210720181630,49.917
FREQ,20210720181645,49.908
FREQ,20210720181700,49.934
FREQ,20210720181715,49.923
FREQ,20210720181730,49.944
FREQ,20210720181745,49.946
FREQ,20210720181800,49.954
FREQ,20210720181815,49.933
FREQ,20210720181830,49.920
FREQ,20210720181845,49.954
FREQ,20210720181900,49.945
FREQ,20210720181915,49.963
FREQ,20210720181930,49.953
FREQ,20210720181945,49.964
FREQ,20210720182000,50.005
FREQ,20210720182015,50.008
FREQ,20210720182030,50.027
FREQ,20210720182045,50.032
FREQ,20210720182100,50.016
FREQ,20210720182115,49.998
FREQ,20210720182130,50.006
FREQ,20210720182145,50.009
FREQ,20210720182200,50.012
FREQ,20210720182215,50.011
