ignore,Fuel,Date,Zone,Week,Year,MW
FOU2T52W,WIND,20210721091000,N,39,2021,6669
FOU2T52W,BIOMASS,20210721091000,N,40,2021,2616
FOU2T52W,CCGT,20210721091000,N,40,2021,27218
FOU2T52W,COAL,20210721091000,N,40,2021,3787
FOU2T52W,INTELEC,20210721091000,N,40,2021,0
FOU2T52W,INTEW,20210721091000,N,40,2021,0
FOU2T52W,INTFR,20210721091000,N,40,2021,1000
FOU2T52W,INTIFA2,20210721091000,N,40,2021,1100
FOU2T52W,INTIRL,20210721091000,N,40,2021,500
FOU2T52W,INTNED,20210721091000,N,40,2021,1000
FOU2T52W,INTNEM,20210721091000,N,40,2021,1000
FOU2T52W,INTNSL,20210721091000,N,40,2021,0
FOU2T52W,NPSHYD,20210721091000,N,40,2021,1098
FOU2T52W,NUCLEAR,20210721091000,N,40,2021,6297
FOU2T52W,OCGT,20210721091000,N,40,2021,1047
FOU2T52W,OTHER,20210721091000,N,40,2021,100
FOU2T52W,PS,20210721091000,N,40,2021,2510
FOU2T52W,WIND,20210721091000,N,40,2021,8390
FOU2T52W,BIOMASS,20210721091000,N,41,2021,2616
FOU2T52W,CCGT,20210721091000,N,41,2021,26273
FOU2T52W,COAL,20210721091000,N,41,2021,3787
FOU2T52W,INTELEC,20210721091000,N,41,2021,0
FOU2T52W,INTEW,20210721091000,N,41,2021,500
FOU2T52W,INTFR,20210721091000,N,41,2021,1000
FOU2T52W,INTIFA2,20210721091000,N,41,2021,1100
FOU2T52W,INTIRL,20210721091000,N,41,2021,500
FOU2T52W,INTNED,20210721091000,N,41,2021,1000
FOU2T52W,INTNEM,20210721091000,N,41,2021,1000
FOU2T52W,INTNSL,20210721091000,N,41,2021,0
FOU2T52W,NPSHYD,20210721091000,N,41,2021,1098
FOU2T52W,NUCLEAR,20210721091000,N,41,2021,6433
FOU2T52W,OCGT,20210721091000,N,41,2021,1047
FOU2T52W,OTHER,20210721091000,N,41,2021,100
FOU2T52W,PS,20210721091000,N,41,2021,2410
FOU2T52W,WIND,20210721091000,N,41,2021,6090
FOU2T52W,BIOMASS,20210721091000,N,42,2021,2616
FOU2T52W,CCGT,20210721091000,N,42,2021,28373
FOU2T52W,COAL,20210721091000,N,42,2021,3787
FOU2T52W,INTELEC,20210721091000,N,42,2021,0
FOU2T52W,INTEW,20210721091000,N,42,2021,500
FOU2T52W,INTFR,20210721091000,N,42,2021,1000
FOU2T52W,INTIFA2,20210721091000,N,42,2021,1100
FOU2T52W,INTIRL,20210721091000,N,42,2021,500
FOU2T52W,INTNED,20210721091000,N,42,2021,1000
FOU2T52W,INTNEM,20210721091000,N,42,2021,1000
FOU2T52W,INTNSL,20210721091000,N,42,2021,0
FOU2T52W,NPSHYD,20210721091000,N,42,2021,1098
FOU2T52W,NUCLEAR,20210721091000,N,42,2021,6433
FOU2T52W,OCGT,20210721091000,N,42,2021,1047
FOU2T52W,OTHER,20210721091000,N,42,2021,100
FOU2T52W,PS,20210721091000,N,42,2021,2510
FOU2T52W,WIND,20210721091000,N,42,2021,8816
FOU2T52W,BIOMASS,20210721091000,N,43,2021,2616
FOU2T52W,CCGT,20210721091000,N,43,2021,28373
FOU2T52W,COAL,20210721091000,N,43,2021,4292
FOU2T52W,INTELEC,20210721091000,N,43,2021,0
FOU2T52W,INTEW,20210721091000,N,43,2021,500
FOU2T52W,INTFR,20210721091000,N,43,2021,1000
FOU2T52W,INTIFA2,20210721091000,N,43,2021,1100
FOU2T52W,INTIRL,20210721091000,N,43,2021,500
FOU2T52W,INTNED,20210721091000,N,43,2021,1000
FOU2T52W,INTNEM,20210721091000,N,43,2021,1000
FOU2T52W,INTNSL,20210721091000,N,43,2021,0
FOU2T52W,NPSHYD,20210721091000,N,43,2021,1123
FOU2T52W,NUCLEAR,20210721091000,N,43,2021,6219
FOU2T52W,OCGT,20210721091000,N,43,2021,1047
FOU2T52W,OTHER,20210721091000,N,43,2021,100
FOU2T52W,PS,20210721091000,N,43,2021,2510
FOU2T52W,WIND,20210721091000,N,43,2021,8204
FOU2T52W,BIOMASS,20210721091000,N,44,2021,2616
FOU2T52W,CCGT,20210721091000,N,44,2021,28269
FOU2T52W,COAL,20210721091000,N,44,2021,4292
FOU2T52W,INTELEC,20210721091000,N,44,2021,0
FOU2T52W,INTEW,20210721091000,N,44,2021,500
FOU2T52W,INTFR,20210721091000,N,44,2021,2000
FOU2T52W,INTIFA2,20210721091000,N,44,2021,1100
FOU2T52W,INTIRL,20210721091000,N,44,2021,500
FOU2T52W,INTNED,20210721091000,N,44,2021,1000
FOU2T52W,INTNEM,20210721091000,N,44,2021,1000
FOU2T52W,INTNSL,20210721091000,N,44,2021,0
FOU2T52W,NPSHYD,20210721091000,N,44,2021,1123
FOU2T52W,NUCLEAR,20210721091000,N,44,2021,7487
FOU2T52W,OCGT,20210721091000,N,44,2021,1047
FOU2T52W,OTHER,20210721091000,N,44,2021,100
FOU2T52W,PS,20210721091000,N,44,2021,2420
FOU2T52W,WIND,20210721091000,N,44,2021,6841
FOU2T52W,BIOMASS,20210721091000,N,45,2021,2616
FOU2T52W,CCGT,20210721091000,N,45,2021,29149
FOU2T52W,COAL,20210721091000,N,45,2021,4292
FOU2T52W,INTELEC,20210721091000,N,45,2021,0
FOU2T52W,INTEW,20210721091000,N,45,2021,500
FOU2T52W,INTFR,20210721091000,N,45,2021,2000
FOU2T52W,INTIFA2,20210721091000,N,45,2021,1100
FOU2T52W,INTIRL,20210721091000,N,45,2021,500
FOU2T52W,INTNED,20210721091000,N,45,2021,1000
FOU2T52W,INTNEM,20210721091000,N,45,2021,1000
FOU2T52W,INTNSL,20210721091000,N,45,2021,0
FOU2T52W,NPSHYD,20210721091000,N,45,2021,1123
FOU2T52W,NUCLEAR,20210721091000,N,45,2021,6783
FOU2T52W,OCGT,20210721091000,N,45,2021,1047
FOU2T52W,OTHER,20210721091000,N,45,2021,100
FOU2T52W,PS,20210721091000,N,45,2021,2420
FOU2T52W,WIND,20210721091000,N,45,2021,7422
FOU2T52W,BIOMASS,20210721091000,N,46,2021,3276
FOU2T52W,CCGT,20210721091000,N,46,2021,29149
FOU2T52W,COAL,20210721091000,N,46,2021,4292
FOU2T52W,INTELEC,20210721091000,N,46,2021,0
FOU2T52W,INTEW,20210721091000,N,46,2021,500
FOU2T52W,INTFR,20210721091000,N,46,2021,2000
FOU2T52W,INTIFA2,20210721091000,N,46,2021,1100
FOU2T52W,INTIRL,20210721091000,N,46,2021,500
FOU2T52W,INTNED,20210721091000,N,46,2021,1000
FOU2T52W,INTNEM,20210721091000,N,46,2021,1000
FOU2T52W,INTNSL,20210721091000,N,46,2021,0
FOU2T52W,NPSHYD,20210721091000,N,46,2021,1123
FOU2T52W,NUCLEAR,20210721091000,N,46,2021,6413
FOU2T52W,OCGT,20210721091000,N,46,2021,1047
FOU2T52W,OTHER,20210721091000,N,46,2021,100
FOU2T52W,PS,20210721091000,N,46,2021,2330
FOU2T52W,WIND,20210721091000,N,46,2021,7397
FOU2T52W,BIOMASS,20210721091000,N,47,2021,3276
FOU2T52W,CCGT,20210721091000,N,47,2021,29149
FOU2T52W,COAL,20210721091000,N,47,2021,4292
FOU2T52W,INTELEC,20210721091000,N,47,2021,0
FOU2T52W,INTEW,20210721091000,N,47,2021,500
FOU2T52W,INTFR,20210721091000,N,47,2021,2000
FOU2T52W,INTIFA2,20210721091000,N,47,2021,1100
FOU2T52W,INTIRL,20210721091000,N,47,2021,500
FOU2T52W,INTNED,20210721091000,N,47,2021,1000
FOU2T52W,INTNEM,20210721091000,N,47,2021,1000
FOU2T52W,INTNSL,20210721091000,N,47,2021,0
FOU2T52W,NPSHYD,20210721091000,N,47,2021,1123
